CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Kerala Circle,DivReportingCircle,Tiruvalla Division,Valanjavattom East BO,689104,BO,Delivery,PATHANAMTHITTA,KERALA,9.358807,76.541052
Madhya Pradesh Circle,Jabalpur Region,Balaghat Division,Bolegaon B.O,481222,BO,Delivery,BALAGHAT,MADHYA PRADESH,19.555288,75.95213
Madhya Pradesh Circle,Jabalpur Region,Balaghat Division,Gudma B.O,481116,BO,Delivery,BALAGHAT,MADHYA PRADESH,22.115247,80.664597
Madhya Pradesh Circle,Jabalpur Region,Balaghat Division,Bhikewada B.O,481556,BO,Delivery,BALAGHAT,MADHYA PRADESH,21.138614,79.686693
Maharashtra Circle,Aurangabad Region,Pharbhani Division,Ukhali B.O,431509,BO,Delivery,HINGOLI,MAHARASHTRA,76.7534385,18.9694627
Maharashtra Circle,Aurangabad Region,Pharbhani Division,Lakh B.O,431702,BO,Delivery,HINGOLI,MAHARASHTRA,77.1312546,19.6444671
Maharashtra Circle,Aurangabad Region,Pharbhani Division,Kausadi B.O,431508,BO,Delivery,PARBHANI,MAHARASHTRA,76.751896,19.4529731
Maharashtra Circle,Aurangabad Region,Pharbhani Division,Borwand BK B.O,431521,BO,Delivery,PARBHANI,MAHARASHTRA,75.92125,18.67086
Maharashtra Circle,Aurangabad Region,Pharbhani Division,Borda B.O,431514,BO,Delivery,PARBHANI,MAHARASHTRA,76.749301,18.965452
Maharashtra Circle,Aurangabad Region,Pharbhani Division,Dhengali Pimpalgaon B.O,431505,BO,Delivery,PARBHANI,MAHARASHTRA,76.51915,19.28785
Maharashtra Circle,Aurangabad Region,Pharbhani Division,Brahmangaon B.O,431402,BO,Delivery,PARBHANI,MAHARASHTRA,76.8638,19.29725
